4913
         35517645 function calls (35268577 primitive calls) in 31.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28122    0.099    0.000    0.407    0.000 internals.py:4952(get_mgr_concatenation_plan)
    70315    0.099    0.000    0.200    0.000 dtypes.py:367(is_dtype)
   154702    0.097    0.000    0.385    0.000 internals.py:4476(_asarray_compat)
    70314    0.094    0.000    0.141    0.000 common.py:1673(_get_dtype)
    14060    0.093    0.000    1.449    0.000 missing.py:119(_isnull_ndarraylike)
    14061    0.088    0.000    1.189    0.000 internals.py:4441(_multi_blockify)
   168810    0.088    0.000    0.500    0.000 common.py:190(is_categorical)
   126637    0.087    0.000    1.168    0.000 base.py:3999(_ensure_index)
    28133    0.085    0.000    0.342    0.000 internals.py:3001(_verify_integrity)
       10    0.083    0.008    0.083    0.008 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
   337563    0.082    0.000    0.365    0.000 internals.py:2822(<genexpr>)
    14061    0.082    0.000    0.436    0.000 concat.py:25(get_dtype_kinds)
    14061    0.080    0.000    5.235    0.000 frame.py:5595(_to_arrays)
    28122    0.079    0.000    1.768    0.000 internals.py:5159(is_null)
   267247    0.079    0.000    0.272    0.000 numeric.py:463(asarray)
   126569    0.075    0.000    0.075    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    28144    0.075    0.000    0.075    0.000 generic.py:117(__init__)
    14072    0.075    0.000    0.169    0.000 numeric.py:660(require)
   211008    0.071    0.000    0.093    0.000 base.py:528(__len__)
    28159    0.070    0.000    0.185    0.000 common.py:353(_asarray_tuplesafe)
    28133    0.070    0.000    0.127    0.000 range.py:125(_simple_new)
    28146    0.068    0.000    0.135    0.000 base.py:367(_simple_new)
   126593    0.068    0.000    0.068    0.000 {method 'view' of 'numpy.ndarray' objects}
    28122    0.067    0.000    0.147    0.000 internals.py:2864(_is_single_block)
    28123    0.066    0.000    0.351    0.000 common.py:205(_default_index)
    28144    0.065    0.000    0.357    0.000 internals.py:102(__init__)
    56254    0.065    0.000    0.395    0.000 common.py:508(is_string_dtype)
    14061    0.061    0.000    4.904    0.000 frame.py:5764(<listcomp>)
    28133    0.060    0.000    0.247    0.000 range.py:45(__new__)
    14061    0.058    0.000    1.189    0.000 concat.py:421(_get_new_axes)
    28122    0.057    0.000    0.160    0.000 internals.py:5188(get_reindexed_values)
    14061    0.054    0.000   11.025    0.001 frame.py:4458(append)
   416043    0.054    0.000    0.054    0.000 {method 'append' of 'list' objects}
    28144    0.053    0.000    0.227    0.000 internals.py:222(mgr_locs)
    42219    0.053    0.000    0.099    0.000 dtypes.py:489(is_dtype)
    28133    0.053    0.000    0.138    0.000 internals.py:3304(_consolidate_check)
    28133    0.052    0.000    0.059    0.000 internals.py:307(ftype)
    14061    0.052    0.000    6.482    0.000 internals.py:4927(concatenate_join_units)
    14061    0.052    0.000    0.072    0.000 api.py:47(_get_distinct_indexes)
    14061    0.051    0.000    3.926    0.000 concat.py:100(_concat_compat)
    14072    0.050    0.000    5.045    0.000 internals.py:4306(create_block_manager_from_arrays)
      489    0.050    0.000    0.050    0.000 {built-in method marshal.loads}
    70339    0.049    0.000    0.140    0.000 common.py:296(is_datetime64_dtype)
   225040    0.048    0.000    0.048    0.000 {built-in method pandas._libs.lib.isscalar}
    14061    0.048    0.000    0.670    0.000 api.py:51(_union_indexes)
    14061    0.048    0.000    8.345    0.001 internals.py:4814(concatenate_block_managers)
    14061    0.047    0.000   10.934    0.001 concat.py:21(concat)
    73008    0.047    0.000    0.108    0.000 {built-in method builtins.any}
    98470    0.045    0.000    0.101    0.000 base.py:559(values)
    14061    0.045    0.000    7.011    0.000 internals.py:4830(<listcomp>)
    70316    0.044    0.000    0.141    0.000 {built-in method builtins.sum}
    56323    0.043    0.000    0.071    0.000 __init__.py:177(iteritems)
    14082    0.042    0.000    0.098    0.000 internals.py:1838(__init__)
    84388    0.042    0.000    0.152    0.000 {pandas._libs.lib.values_from_object}
    70339    0.042    0.000    0.123    0.000 common.py:371(is_timedelta64_dtype)
    70315    0.040    0.000    0.240    0.000 common.py:406(is_period_dtype)
    14070    0.039    0.000    1.545    0.000 missing.py:47(_isnull_new)
    14060    0.038    0.000    0.038    0.000 {built-in method pandas._libs.lib.is_bool_array}
    56266    0.038    0.000    0.048    0.000 range.py:61(_ensure_int)
    14072    0.036    0.000    9.987    0.001 frame.py:5489(_arrays_to_mgr)
   112499    0.036    0.000    0.046    0.000 internals.py:2824(ndim)
    56277    0.034    0.000    0.034    0.000 {method 'fill' of 'numpy.ndarray' objects}
    28122    0.033    0.000    0.178    0.000 generic.py:3140(_consolidate)
   168776    0.032    0.000    0.032    0.000 internals.py:185(mgr_locs)
    28122    0.032    0.000    0.076    0.000 generic.py:3135(f)
    14061    0.032    0.000    0.041    0.000 api.py:93(_sanitize_and_check)
    28122    0.031    0.000    0.112    0.000 generic.py:3122(_protect_consolidate)
    45/42    0.030    0.001    0.054    0.001 {built-in method _imp.create_dynamic}
    84388    0.030    0.000    0.110    0.000 base.py:564(get_values)
    14061    0.030    0.000    0.302    0.000 concat.py:457(_get_concat_axis)
    14061    0.029    0.000    0.107    0.000 api.py:111(_get_consensus_names)
    28133    0.029    0.000    0.058    0.000 internals.py:2780(<listcomp>)
    28133    0.028    0.000    0.196    0.000 {method 'any' of 'numpy.ndarray' objects}
    56255    0.028    0.000    0.038    0.000 base.py:502(is_)
    14061    0.027    0.000    0.074    0.000 api.py:115(<listcomp>)
    28122    0.027    0.000    0.055    0.000 internals.py:5146(dtype)
    28122    0.027    0.000    0.098    0.000 frame.py:493(shape)
    42219    0.026    0.000    0.126    0.000 common.py:439(is_interval_dtype)
    56244    0.026    0.000    0.037    0.000 internals.py:5056(_next_or_none)
    14061    0.026    0.000    0.133    0.000 concat.py:283(<listcomp>)
    28153    0.026    0.000    0.026    0.000 generic.py:3083(__setattr__)
1624/1603    0.026    0.000    0.093    0.000 {built-in method builtins.__build_class__}
    42268    0.025    0.000    0.047    0.000 common.py:1456(is_float_dtype)
    42247    0.025    0.000    0.091    0.000 common.py:1508(is_bool_dtype)
    14061    0.025    0.000    0.776    0.000 api.py:31(_get_combined_index)
    56279    0.025    0.000    0.025    0.000 base.py:522(_reset_identity)
    56244    0.024    0.000    0.046    0.000 generic.py:436(ndim)
    14061    0.024    0.000    4.931    0.000 frame.py:5748(_convert_object_array)
    14060    0.024    0.000    0.072    0.000 internals.py:1846(is_bool)
      489    0.024    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:830(get_data)
    29051    0.023    0.000    0.035    0.000 <frozen importlib._bootstrap>:416(parent)
    14061    0.023    0.000    0.131    0.000 generic.py:330(_from_axes)
    14061    0.023    0.000    0.809    0.000 concat.py:445(_get_comb_axis)
    14061    0.022    0.000    0.182    0.000 internals.py:4937(<listcomp>)
   154671    0.022    0.000    0.022    0.000 internals.py:4445(<lambda>)
    56266    0.021    0.000    0.034    0.000 internals.py:3003(<genexpr>)
    58769    0.021    0.000    0.021    0.000 {built-in method __new__ of type object at 0x000000006E31B3F0}
    28146    0.020    0.000    0.140    0.000 common.py:972(is_datetime64_any_dtype)
    28133    0.020    0.000    0.079    0.000 internals.py:3305(<listcomp>)
    14061    0.020    0.000    0.026    0.000 generic.py:342(_get_axis_number)
       10    0.019    0.002    0.019    0.002 parsers.py:1589(__init__)
    78586    0.018    0.000    0.018    0.000 {method 'startswith' of 'str' objects}
    28146    0.018    0.000    0.034    0.000 common.py:787(is_signed_integer_dtype)
    28122    0.018    0.000    0.130    0.000 generic.py:3132(_consolidate_inplace)
    14060    0.018    0.000    0.018    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      400    0.018    0.000    0.018    0.000 {built-in method nt.listdir}
    14062    0.018    0.000    0.029    0.000 common.py:1375(is_numeric_dtype)
    98809    0.018    0.000    0.018    0.000 {method 'items' of 'dict' objects}
    14061    0.017    0.000    0.424    0.000 internals.py:4827(<listcomp>)
    28122    0.017    0.000    0.017    0.000 base.py:1055(_get_names)
    28146    0.017    0.000    0.031    0.000 common.py:836(is_unsigned_integer_dtype)
      377    0.016    0.000    0.016    0.000 {built-in method io.open}
    28122    0.016    0.000    0.020    0.000 internals.py:5137(needs_filling)
    84408    0.016    0.000    0.016    0.000 {built-in method pandas._libs.algos.ensure_object}
    28144    0.016    0.000    0.019    0.000 numeric.py:729(<genexpr>)
    14061    0.016    0.000    0.034    0.000 concat.py:87(_get_frame_result_type)
    56762    0.016    0.000    0.016    0.000 {built-in method builtins.iter}
    14061    0.016    0.000    0.018    0.000 generic.py:159(_init_mgr)
    28122    0.016    0.000    0.043    0.000 internals.py:2986(__len__)
    42183    0.015    0.000    0.025    0.000 concat.py:136(<genexpr>)
    28122    0.015    0.000    0.019    0.000 internals.py:160(get_values)
      489    0.015    0.000    0.015    0.000 {method 'read' of '_io.FileIO' objects}
    42183    0.014    0.000    0.018    0.000 api.py:48(<genexpr>)
    56315    0.014    0.000    0.014    0.000 internals.py:303(dtype)
    28122    0.014    0.000    0.014    0.000 internals.py:5125(__init__)
    570/1    0.014    0.000   31.089   31.089 {built-in method builtins.exec}
    56244    0.014    0.000    0.014    0.000 api.py:116(<genexpr>)
    56275    0.013    0.000    0.013    0.000 internals.py:2897(_get_items)
    14061    0.013    0.000    0.013    0.000 concat.py:489(<listcomp>)
    28133    0.013    0.000    0.167    0.000 _methods.py:37(_any)
    14060    0.013    0.000    0.109    0.000 {method 'all' of 'numpy.ndarray' objects}
    28122    0.013    0.000    0.013    0.000 concat.py:119(is_nonempty)
     1297    0.013    0.000    0.013    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    32392    0.012    0.000    0.012    0.000 {method 'rpartition' of 'str' objects}
    42194    0.012    0.000    0.012    0.000 internals.py:3296(is_consolidated)
     1380    0.012    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    56642    0.012    0.000    0.075    0.000 {built-in method builtins.next}
    14061    0.012    0.000    0.024    0.000 concat.py:125(<listcomp>)
    28122    0.011    0.000    0.019    0.000 internals.py:3560(consolidate)
    42183    0.011    0.000    0.064    0.000 concat.py:492(<genexpr>)
     1117    0.011    0.000    0.012    0.000 version.py:343(_cmpkey)
    28122    0.011    0.000    0.015    0.000 _validators.py:220(validate_bool_kwarg)
      453    0.011    0.000    0.013    0.000 sre_compile.py:250(_optimize_charset)
    28133    0.011    0.000    0.011    0.000 internals.py:295(shape)
  649/162    0.010    0.000    0.029    0.000 sre_parse.py:470(_parse)
      660    0.010    0.000    0.010    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    42183    0.010    0.000    0.014    0.000 concat.py:137(<genexpr>)
     2239    0.010    0.000    0.033    0.000 version.py:198(__init__)
    14060    0.010    0.000    0.016    0.000 common.py:1419(is_string_like_dtype)
    14061    0.009    0.000    0.020    0.000 concat.py:415(_get_result_dim)
    14061    0.009    0.000    0.009    0.000 concat.py:450(<listcomp>)
    14061    0.009    0.000    0.009    0.000 api.py:94(<listcomp>)
    58175    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
    14072    0.008    0.000    0.030    0.000 internals.py:4482(_shape_compat)
    28144    0.008    0.000    0.008    0.000 base.py:549(dtype)
    28122    0.008    0.000    0.008    0.000 concat.py:93(<genexpr>)
    14070    0.007    0.000    1.552    0.000 missing.py:26(isnull)
      312    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
    16831    0.007    0.000    0.007    0.000 {built-in method builtins.min}
    14072    0.007    0.000    0.012    0.000 internals.py:3576(_consolidate_inplace)
    14061    0.007    0.000    0.007    0.000 concat.py:242(<listcomp>)
 1192/148    0.007    0.000    0.032    0.000 sre_compile.py:64(_compile)
    28133    0.006    0.000    0.006    0.000 range.py:152(_validate_dtype)
     3644    0.006    0.000    0.009    0.000 ntpath.py:121(splitdrive)
    42194    0.006    0.000    0.006    0.000 {built-in method pandas._libs.lib.is_integer}
    42201    0.006    0.000    0.006    0.000 {method 'values' of 'dict' objects}
    14060    0.006    0.000    0.096    0.000 _methods.py:40(_all)
    27799    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
     7113    0.006    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    14061    0.006    0.000    0.007    0.000 inference.py:337(is_named_tuple)
    15170    0.005    0.000    0.005    0.000 sre_parse.py:232(__next)
      374    0.005    0.000    0.005    0.000 {method 'splitlines' of 'str' objects}
    14061    0.005    0.000    0.008    0.000 generic.py:3050(__finalize__)
     2253    0.005    0.000    0.005    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     4348    0.005    0.000    0.014    0.000 enum.py:801(__and__)
      377    0.005    0.000    0.005    0.000 {built-in method nt._isdir}
      961    0.005    0.000    0.008    0.000 ntpath.py:199(split)
    741/2    0.005    0.000    0.766    0.383 <frozen importlib._bootstrap>:966(_find_and_load)
     7113    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     9314    0.005    0.000    0.005    0.000 enum.py:515(__new__)
      312    0.004    0.000    0.025    0.000 __init__.py:1594(_get)
      675    0.004    0.000    0.114    0.000 <frozen importlib._bootstrap>:870(_find_spec)
    28132    0.004    0.000    0.004    0.000 {built-in method pandas._libs.lib.is_bool}
     1122    0.004    0.000    0.012    0.000 version.py:131(_legacy_cmpkey)
     1326    0.004    0.000    0.011    0.000 ntpath.py:74(join)
      489    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
    13443    0.004    0.000    0.008    0.000 sre_parse.py:253(get)
     9327    0.004    0.000    0.012    0.000 enum.py:265(__call__)
10662/10654    0.004    0.000    0.006    0.000 {method 'join' of 'str' objects}
    28173    0.003    0.000    0.003    0.000 {built-in method builtins.id}
     5008    0.003    0.000    0.006    0.000 version.py:114(_parse_version_parts)
      489    0.003    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      978    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
    14638    0.003    0.000    0.003    0.000 {method 'extend' of 'list' objects}
 1874/844    0.003    0.000    0.004    0.000 sre_parse.py:173(getwidth)
    16167    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
     1292    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      660    0.003    0.000    0.027    0.000 textwrap.py:414(dedent)
    14136    0.003    0.000    0.003    0.000 {method 'upper' of 'str' objects}
        2    0.003    0.001    0.003    0.002 {method 'readlines' of '_io._IOBase' objects}
       69    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      656    0.003    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     1292    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
     3180    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     1668    0.002    0.000    0.070    0.000 __init__.py:2683(_get_metadata)
      553    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    741/2    0.002    0.000    0.766    0.383 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      901    0.002    0.000    0.007    0.000 copy.py:66(copy)
    565/2    0.002    0.000    0.765    0.382 <frozen importlib._bootstrap>:651(_load_unlocked)
     1292    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      374    0.002    0.000    0.096    0.000 __init__.py:2538(from_location)
     4827    0.002    0.000    0.003    0.000 sre_parse.py:163(__getitem__)
      978    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      744    0.002    0.000    0.123    0.000 __init__.py:2108(distributions_from_metadata)
       62    0.002    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    14061    0.002    0.000    0.002    0.000 base.py:1051(nlevels)
    11601    0.002    0.000    0.002    0.000 {method 'group' of '_sre.SRE_Match' objects}
     1190    0.002    0.000    0.076    0.000 re.py:286(_compile)
     3543    0.002    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     6460    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1494    0.002    0.000    0.031    0.000 version.py:24(parse)
     1161    0.002    0.000    0.002    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      688    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     4324    0.002    0.000    0.002    0.000 version.py:207(<genexpr>)
     1674    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      744    0.002    0.000    0.022    0.000 __init__.py:1399(safe_version)
     1486    0.002    0.000    0.007    0.000 __init__.py:2340(yield_lines)
     1482    0.002    0.000    0.002    0.000 {built-in method _thread.allocate_lock}
      374    0.002    0.000    0.003    0.000 __init__.py:767(add)
     2060    0.001    0.000    0.002    0.000 __init__.py:2053(dist_factory)
      744    0.001    0.000    0.004    0.000 version.py:236(__str__)
  475/148    0.001    0.000    0.030    0.000 sre_parse.py:407(_parse_sub)
     1122    0.001    0.000    0.013    0.000 version.py:74(__init__)
     3359    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
    489/2    0.001    0.000    0.765    0.382 <frozen importlib._bootstrap_external>:672(exec_module)
      900    0.001    0.000    0.003    0.000 copy.py:268(_reconstruct)
      746    0.001    0.000    0.002    0.000 genericpath.py:117(_splitext)
       16    0.001    0.000    0.003    0.000 enum.py:124(__new__)
       72    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
     8433    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
      825    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      984    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
     4092    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      571    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
      312    0.001    0.000    0.030    0.000 __init__.py:1483(get_metadata)
     1326    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     2923    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      775    0.001    0.000    0.007    0.000 __init__.py:1541(_fn)
      688    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      489    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      553    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
       32    0.001    0.000    0.040    0.001 {built-in method builtins.sorted}
       62    0.001    0.000    0.007    0.000 __init__.py:1877(get_metadata)
     1304    0.001    0.000    0.001    0.000 __init__.py:2597(key)
     2256    0.001    0.000    0.002    0.000 version.py:65(_compare)
      378    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     1304    0.001    0.000    0.002    0.000 __init__.py:2724(__getattr__)
     1241    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
     8012    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      900    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
     2880    0.001    0.000    0.001    0.000 version.py:244(<genexpr>)
  553/540    0.001    0.000    0.068    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      453    0.001    0.000    0.015    0.000 sre_compile.py:223(_compile_charset)
      394    0.001    0.000    0.170    0.000 __init__.py:2021(find_on_path)
      738    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
       10    0.001    0.000    0.001    0.000 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
      900    0.001    0.000    0.008    0.000 pyparsing.py:1144(copy)
      738    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
    298/9    0.001    0.000    0.003    0.000 pyparsing.py:1347(_parseNoCache)
     3534    0.001    0.000    0.001    0.000 sre_parse.py:248(match)
      601    0.001    0.000    0.027    0.000 _decorators.py:183(__call__)
      370    0.001    0.000    0.076    0.000 __init__.py:2510(_version_from_file)
      372    0.001    0.000    0.032    0.000 __init__.py:2016(<listcomp>)
      746    0.001    0.000    0.003    0.000 ntpath.py:222(splitext)
     1526    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      532    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      921    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
      743    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:147(__enter__)
       19    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       37    0.001    0.000    0.015    0.000 __init__.py:357(namedtuple)
     1021    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:403(cached)
     4425    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      148    0.001    0.000    0.072    0.000 sre_compile.py:557(compile)
     4425    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     2238    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2207    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      390    0.001    0.000    0.002    0.000 __init__.py:2039(<genexpr>)
      549    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      186    0.001    0.000    0.003    0.000 __init__.py:2769(insert_on)
      148    0.001    0.000    0.006    0.000 sre_compile.py:482(_compile_info)
     1380    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
      370    0.001    0.000    0.078    0.000 __init__.py:2880(_reload_version)
      372    0.001    0.000    0.035    0.000 __init__.py:2010(_by_version)
       27    0.001    0.000    0.004    0.000 pluggy.py:341(register)
      374    0.001    0.000    0.013    0.000 __init__.py:2526(__init__)
       10    0.001    0.000    0.113    0.011 parsers.py:382(_read)
  513/100    0.001    0.000    0.586    0.006 {built-in method builtins.__import__}
      489    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      584    0.001    0.000    0.004    0.000 __init__.py:795(__setitem__)
       48    0.001    0.000    0.006    0.000 traceback.py:313(extract)
      254    0.001    0.000    0.038    0.000 __init__.py:2171(_handle_ns)
     2207    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
     1201    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1597    0.001    0.000    0.001    0.000 sre_parse.py:285(tell)
       13    0.001    0.000    0.006    0.000 ops.py:45(_create_methods)
      165    0.001    0.000    0.001    0.000 functools.py:44(update_wrapper)
     1893    0.001    0.000    0.001    0.000 sre_parse.py:171(append)
      148    0.001    0.000    0.032    0.000 sre_parse.py:844(parse)
     3351    0.001    0.000    0.001    0.000 version.py:298(_parse_letter_version)
      207    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      463    0.001    0.000    0.019    0.000 __init__.py:1480(has_metadata)
      479    0.001    0.000    0.001    0.000 sre_compile.py:388(_simple)
      656    0.001    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      467    0.001    0.000    0.014    0.000 genericpath.py:16(exists)
      489    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1110    0.000    0.000    0.001    0.000 __init__.py:2515(<lambda>)
       36    0.000    0.000    0.185    0.005 __init__.py:1(<module>)
      489    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      186    0.000    0.000    0.001    0.000 __init__.py:2795(<listcomp>)
      143    0.000    0.000    0.001    0.000 pluggy.py:630(varnames)
     2636    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       22    0.000    0.000    0.174    0.008 __init__.py:692(add_entry)
